area,year,average_rain_fall_mm_per_year,crops,crop_yields,pesticide_tonnes,avg_temp
Algeria,2001,89.0,"Rice, paddy",12314,710.11,18.13
Algeria,2001,89.0,Sorghum,27750,710.11,18.13
Algeria,2001,89.0,Wheat,11104,710.11,18.13
Algeria,2002,89.0,Maize,33480,816.55,17.85
Algeria,2002,89.0,Potatoes,183774,816.55,17.85
Algeria,2002,89.0,"Rice, paddy",12959,816.55,17.85
Algeria,2002,89.0,Sorghum,33900,816.55,17.85
Algeria,2002,89.0,Wheat,10739,816.55,17.85
Algeria,2004,89.0,Maize,31729,3747.86,17.38
Algeria,2004,89.0,Potatoes,203585,3747.86,17.38
Algeria,2004,89.0,"Rice, paddy",12829,3747.86,17.38
Algeria,2004,89.0,Sorghum,43316,3747.86,17.38
Algeria,2004,89.0,Wheat,13582,3747.86,17.38
Algeria,2005,89.0,Maize,33864,3662.87,17.19
Algeria,2005,89.0,Potatoes,216267,3662.87,17.19
Algeria,2005,89.0,"Rice, paddy",12998,3662.87,17.19
Algeria,2005,89.0,Sorghum,33486,3662.87,17.19
Algeria,2005,89.0,Wheat,15057,3662.87,17.19
Algeria,2006,89.0,Maize,65668,4110.72,18.13
Algeria,2006,89.0,Potatoes,220689,4110.72,18.13
Algeria,2006,89.0,"Rice, paddy",12769,4110.72,18.13
Algeria,2006,89.0,Sorghum,56728,4110.72,18.13
Algeria,2006,89.0,Wheat,15068,4110.72,18.13
Algeria,2007,89.0,Maize,85625,5390.79,17.42
Algeria,2007,89.0,Potatoes,189927,5390.79,17.42
Algeria,2007,89.0,"Rice, paddy",13375,5390.79,17.42
Algeria,2007,89.0,Sorghum,119059,5390.79,17.42
Algeria,2007,89.0,Wheat,12742,5390.79,17.42
Algeria,2008,89.0,Maize,44714,11556.12,17.55
Algeria,2008,89.0,Potatoes,236393,11556.12,17.55
Algeria,2008,89.0,"Rice, paddy",13952,11556.12,17.55
Algeria,2008,89.0,Sorghum,61786,11556.12,17.55
Algeria,2008,89.0,Wheat,11038,11556.12,17.55
Algeria,2009,89.0,Maize,30914,3867.99,17.78
Algeria,2009,89.0,Potatoes,250764,3867.99,17.78
Algeria,2009,89.0,"Rice, paddy",14594,3867.99,17.78
Algeria,2009,89.0,Sorghum,90465,3867.99,17.78
Algeria,2009,89.0,Wheat,15975,3867.99,17.78
Algeria,2010,89.0,Maize,25827,1295.88,17.59
Algeria,2010,89.0,Potatoes,270526,1295.88,17.59
Algeria,2010,89.0,"Rice, paddy",15305,1295.88,17.59
Algeria,2010,89.0,Sorghum,30286,1295.88,17.59
Algeria,2010,89.0,Wheat,14838,1295.88,17.59
Algeria,2011,89.0,Maize,23374,13861.76,17.79
Algeria,2011,89.0,Potatoes,292806,13861.76,17.79
Algeria,2011,89.0,"Rice, paddy",16081,13861.76,17.79
Algeria,2011,89.0,Sorghum,100000,13861.76,17.79
Algeria,2011,89.0,Wheat,17405,13861.76,17.79
Algeria,2012,89.0,Maize,25583,17379.76,17.91
Algeria,2012,89.0,Potatoes,304291,17379.76,17.91
Algeria,2012,89.0,"Rice, paddy",16667,17379.76,17.91
Algeria,2012,89.0,Sorghum,206000,17379.76,17.91
Algeria,2012,89.0,Wheat,17639,17379.76,17.91
Algeria,2013,89.0,Maize,33649,17278.65,17.65
Algeria,2013,89.0,Potatoes,303218,17278.65,17.65
Algeria,2013,89.0,"Rice, paddy",17778,17278.65,17.65
Algeria,2013,89.0,Sorghum,60000,17278.65,17.65
Algeria,2013,89.0,Wheat,19100,17278.65,17.65
Angola,1990,1010.0,Cassava,41177,64.0,24.12
Angola,1990,1010.0,Maize,2736,64.0,24.12
Angola,1990,1010.0,Potatoes,40000,64.0,24.12
Angola,1990,1010.0,"Rice, paddy",9512,64.0,24.12
Angola,1990,1010.0,Sweet potatoes,89342,64.0,24.12
Angola,1990,1010.0,Wheat,7995,64.0,24.12
Angola,1991,1010.0,Cassava,40295,79.0,24.02
Angola,1991,1010.0,Maize,4013,79.0,24.02
Angola,1991,1010.0,Potatoes,40000,79.0,24.02
Angola,1991,1010.0,"Rice, paddy",10000,79.0,24.02
Angola,1991,1010.0,Sweet potatoes,83001,79.0,24.02
Angola,1991,1010.0,Wheat,8000,79.0,24.02
Angola,1992,1010.0,Cassava,42295,23.0,23.96
Angola,1992,1010.0,Maize,3778,23.0,23.96
Angola,1992,1010.0,Potatoes,40000,23.0,23.96
Angola,1992,1010.0,"Rice, paddy",9106,23.0,23.96
Angola,1992,1010.0,Sweet potatoes,90000,23.0,23.96
Angola,1992,1010.0,Wheat,8000,23.0,23.96
Angola,1993,1010.0,Cassava,42295,169.0,24.15
Angola,1993,1010.0,Maize,2627,169.0,24.15
Angola,1993,1010.0,Potatoes,70000,169.0,24.15
Angola,1993,1010.0,"Rice, paddy",8000,169.0,24.15
Angola,1993,1010.0,Sweet potatoes,88095,169.0,24.15
Angola,1993,1010.0,Wheat,8876,169.0,24.15
Angola,1994,1010.0,Cassava,58596,25.5,24.04
Angola,1994,1010.0,Maize,2463,25.5,24.04
Angola,1994,1010.0,Potatoes,90000,25.5,24.04
Angola,1994,1010.0,"Rice, paddy",8750,25.5,24.04
Angola,1994,1010.0,Sweet potatoes,83192,25.5,24.04
Angola,1994,1010.0,Wheat,10000,25.5,24.04
Angola,1995,1010.0,Cassava,51000,336.0,24.56
Angola,1995,1010.0,Maize,3517,336.0,24.56
Angola,1995,1010.0,Potatoes,76738,336.0,24.56
Angola,1995,1010.0,"Rice, paddy",14615,336.0,24.56
Angola,1995,1010.0,Sweet potatoes,81138,336.0,24.56
Angola,1995,1010.0,Wheat,11855,336.0,24.56
Angola,1996,1010.0,Cassava,48077,40.0,24.11
Angola,1996,1010.0,Maize,6993,40.0,24.11
Angola,1996,1010.0,Potatoes,70000,40.0,24.11
Angola,1996,1010.0,"Rice, paddy",17500,40.0,24.11
Angola,1996,1010.0,Sweet potatoes,85455,40.0,24.11
Angola,1996,1010.0,Wheat,13738,40.0,24.11
Angola,1997,1010.0,Cassava,44205,40.0,24.06
Angola,1997,1010.0,Maize,5959,40.0,24.06
Angola,1997,1010.0,Potatoes,68571,40.0,24.06
Angola,1997,1010.0,"Rice, paddy",20000,40.0,24.06
Angola,1997,1010.0,Sweet potatoes,78098,40.0,24.06
Angola,1997,1010.0,Wheat,15509,40.0,24.06
Angola,1998,1010.0,Cassava,55728,40.0,24.96
Angola,1998,1010.0,Maize,7396,40.0,24.96
Angola,1998,1010.0,Potatoes,62724,40.0,24.96
Angola,1998,1010.0,"Rice, paddy",20000,40.0,24.96
Angola,1998,1010.0,Sweet potatoes,76256,40.0,24.96
Angola,1998,1010.0,Wheat,17143,40.0,24.96
Angola,1999,1010.0,Cassava,59821,40.0,24.37
Angola,1999,1010.0,Maize,6361,40.0,24.37
Angola,1999,1010.0,Potatoes,54597,40.0,24.37
Angola,1999,1010.0,"Rice, paddy",14235,40.0,24.37
Angola,1999,1010.0,Sweet potatoes,82865,40.0,24.37
Angola,1999,1010.0,Wheat,17391,40.0,24.37
Angola,2000,1010.0,Cassava,82992,40.0,24.41
Angola,2000,1010.0,Maize,5745,40.0,24.41
Angola,2000,1010.0,Potatoes,29885,40.0,24.41
Angola,2000,1010.0,"Rice, paddy",13454,40.0,24.41
Angola,2000,1010.0,Sorghum,3333,40.0,24.41
Angola,2000,1010.0,Soybeans,2333,40.0,24.41
Angola,2000,1010.0,Sweet potatoes,34938,40.0,24.41
Angola,2000,1010.0,Wheat,17023,40.0,24.41
Angola,2001,1010.0,Cassava,94072,40.0,24.43
Angola,2001,1010.0,Maize,5754,40.0,24.43
Angola,2001,1010.0,Potatoes,42552,40.0,24.43
Angola,2001,1010.0,"Rice, paddy",13701,40.0,24.43
Angola,2001,1010.0,Sorghum,3571,40.0,24.43
Angola,2001,1010.0,Soybeans,2500,40.0,24.43
Angola,2001,1010.0,Sweet potatoes,44458,40.0,24.43
Angola,2001,1010.0,Wheat,16667,40.0,24.43
Angola,2002,1010.0,Cassava,110071,40.0,24.79
Angola,2002,1010.0,Maize,6706,40.0,24.79
Angola,2002,1010.0,Potatoes,42754,40.0,24.79
Angola,2002,1010.0,"Rice, paddy",13198,40.0,24.79
Angola,2002,1010.0,Sorghum,3400,40.0,24.79
Angola,2002,1010.0,Soybeans,2857,40.0,24.79
Angola,2002,1010.0,Sweet potatoes,42190,40.0,24.79
Angola,2002,1010.0,Wheat,15455,40.0,24.79
Angola,2004,1010.0,Cassava,125605,40.0,24.22
Angola,2004,1010.0,Maize,5404,40.0,24.22
Angola,2004,1010.0,Potatoes,20150,40.0,24.22
Angola,2004,1010.0,"Rice, paddy",11584,40.0,24.22
Angola,2004,1010.0,Sorghum,3333,40.0,24.22
Angola,2004,1010.0,Soybeans,3600,40.0,24.22
Angola,2004,1010.0,Sweet potatoes,45360,40.0,24.22
Angola,2004,1010.0,Wheat,12442,40.0,24.22
Angola,2005,1010.0,Cassava,117628,40.0,24.41
Angola,2005,1010.0,Maize,6736,40.0,24.41
Angola,2005,1010.0,Potatoes,23646,40.0,24.41
Angola,2005,1010.0,"Rice, paddy",6977,40.0,24.41
Angola,2005,1010.0,Sorghum,3333,40.0,24.41
Angola,2005,1010.0,Soybeans,3793,40.0,24.41
Angola,2005,1010.0,Sweet potatoes,46159,40.0,24.41
Angola,2005,1010.0,Wheat,10946,40.0,24.41
Angola,2006,1010.0,Cassava,117201,40.0,24.14
Angola,2006,1010.0,Maize,4687,40.0,24.14
Angola,2006,1010.0,Potatoes,52148,40.0,24.14
Angola,2006,1010.0,"Rice, paddy",4947,40.0,24.14
Angola,2006,1010.0,Sorghum,4091,40.0,24.14
Angola,2006,1010.0,Soybeans,4286,40.0,24.14
Angola,2006,1010.0,Sweet potatoes,44240,40.0,24.14
Angola,2006,1010.0,Wheat,10000,40.0,24.14
Angola,2007,1010.0,Cassava,115387,40.0,24.24
Angola,2007,1010.0,Maize,5091,40.0,24.24
Angola,2007,1010.0,Potatoes,62138,40.0,24.24
Angola,2007,1010.0,"Rice, paddy",5143,40.0,24.24
Angola,2007,1010.0,Sorghum,4031,40.0,24.24
Angola,2007,1010.0,Soybeans,6883,40.0,24.24
Angola,2007,1010.0,Sweet potatoes,58855,40.0,24.24
Angola,2007,1010.0,Wheat,10000,40.0,24.24
Angola,2008,1010.0,Cassava,148084,40.0,24.27
Angola,2008,1010.0,Maize,7946,40.0,24.27
Angola,2008,1010.0,Potatoes,85085,40.0,24.27
Angola,2008,1010.0,"Rice, paddy",5084,40.0,24.27
Angola,2008,1010.0,Sorghum,929,40.0,24.27
Angola,2008,1010.0,Soybeans,8575,40.0,24.27
Angola,2008,1010.0,Sweet potatoes,65437,40.0,24.27
Angola,2008,1010.0,Wheat,10000,40.0,24.27
Angola,2009,1010.0,Cassava,151759,40.0,24.33
Angola,2009,1010.0,Maize,6614,40.0,24.33
Angola,2009,1010.0,Potatoes,86509,40.0,24.33
Angola,2009,1010.0,"Rice, paddy",6028,40.0,24.33
Angola,2009,1010.0,Sorghum,2480,40.0,24.33
Angola,2009,1010.0,Soybeans,4449,40.0,24.33
Angola,2009,1010.0,Sweet potatoes,66475,40.0,24.33
Angola,2009,1010.0,Wheat,10000,40.0,24.33
Angola,2010,1010.0,Cassava,155782,40.0,24.44
Angola,2010,1010.0,Maize,7200,40.0,24.44
Angola,2010,1010.0,Potatoes,87425,40.0,24.44
Angola,2010,1010.0,"Rice, paddy",7403,40.0,24.44
Angola,2010,1010.0,Sorghum,2814,40.0,24.44
Angola,2010,1010.0,Soybeans,4446,40.0,24.44
Angola,2010,1010.0,Sweet potatoes,63001,40.0,24.44
Angola,2010,1010.0,Wheat,10526,40.0,24.44
Angola,2011,1010.0,Cassava,133649,40.0,24.15
Angola,2011,1010.0,Maize,7376,40.0,24.15
Angola,2011,1010.0,Potatoes,81366,40.0,24.15
Angola,2011,1010.0,"Rice, paddy",8914,40.0,24.15
Angola,2011,1010.0,Sorghum,3320,40.0,24.15
Angola,2011,1010.0,Soybeans,5294,40.0,24.15
Angola,2011,1010.0,Sweet potatoes,65512,40.0,24.15
Angola,2011,1010.0,Wheat,10959,40.0,24.15
Angola,2012,1010.0,Cassava,100073,40.0,24.24
Angola,2012,1010.0,Maize,7770,40.0,24.24
Angola,2012,1010.0,Potatoes,69381,40.0,24.24
Angola,2012,1010.0,"Rice, paddy",7703,40.0,24.24
Angola,2012,1010.0,Sorghum,998,40.0,24.24
Angola,2012,1010.0,Soybeans,1641,40.0,24.24
Angola,2012,1010.0,Sweet potatoes,52954,40.0,24.24
Angola,2012,1010.0,Wheat,11258,40.0,24.24
Angola,2013,1010.0,Cassava,140517,40.0,24.55
Angola,2013,1010.0,Maize,9467,40.0,24.55
Angola,2013,1010.0,Potatoes,63303,40.0,24.55
Angola,2013,1010.0,"Rice, paddy",12744,40.0,24.55
Angola,2013,1010.0,Sorghum,2415,40.0,24.55
Angola,2013,1010.0,Soybeans,4405,40.0,24.55
Angola,2013,1010.0,Sweet potatoes,73409,40.0,24.55
Angola,2013,1010.0,Wheat,9022,40.0,24.55
Argentina,1990,591.0,Cassava,100000,26156.0,17.46
Argentina,1990,591.0,Cassava,100000,26156.0,17.67
Argentina,1990,591.0,Maize,34608,26156.0,17.46
Argentina,1990,591.0,Maize,34608,26156.0,17.67
Argentina,1990,591.0,Potatoes,202747,26156.0,17.46
Argentina,1990,591.0,Potatoes,202747,26156.0,17.67
Argentina,1990,591.0,"Rice, paddy",36709,26156.0,17.46
Argentina,1990,591.0,"Rice, paddy",36709,26156.0,17.67
Argentina,1990,591.0,Sorghum,28116,26156.0,17.46
Argentina,1990,591.0,Sorghum,28116,26156.0,17.67
Argentina,1990,591.0,Soybeans,21566,26156.0,17.46
Argentina,1990,591.0,Soybeans,21566,26156.0,17.67
Argentina,1990,591.0,Sweet potatoes,131864,26156.0,17.46
Argentina,1990,591.0,Sweet potatoes,131864,26156.0,17.67
Argentina,1990,591.0,Wheat,18947,26156.0,17.46
Argentina,1990,591.0,Wheat,18947,26156.0,17.67
Argentina,1991,591.0,Cassava,100000,26156.0,17.64
Argentina,1991,591.0,Cassava,100000,26156.0,17.86
Argentina,1991,591.0,Maize,40444,26156.0,17.64
Argentina,1991,591.0,Maize,40444,26156.0,17.86
Argentina,1991,591.0,Potatoes,205692,26156.0,17.64
Argentina,1991,591.0,Potatoes,205692,26156.0,17.86
Argentina,1991,591.0,"Rice, paddy",40294,26156.0,17.64
Argentina,1991,591.0,"Rice, paddy",40294,26156.0,17.86
Argentina,1991,591.0,Sorghum,33320,26156.0,17.64
Argentina,1991,591.0,Sorghum,33320,26156.0,17.86
Argentina,1991,591.0,Soybeans,22750,26156.0,17.64
Argentina,1991,591.0,Soybeans,22750,26156.0,17.86
Argentina,1991,591.0,Sweet potatoes,131364,26156.0,17.64
Argentina,1991,591.0,Sweet potatoes,131364,26156.0,17.86
Argentina,1991,591.0,Wheat,18972,26156.0,17.64
Argentina,1991,591.0,Wheat,18972,26156.0,17.86
Argentina,1992,591.0,Cassava,100000,26156.0,17.09
Argentina,1992,591.0,Cassava,100000,26156.0,17.51
Argentina,1992,591.0,Maize,45237,26156.0,17.09
Argentina,1992,591.0,Maize,45237,26156.0,17.51
Argentina,1992,591.0,Potatoes,199039,26156.0,17.09
Argentina,1992,591.0,Potatoes,199039,26156.0,17.51
Argentina,1992,591.0,"Rice, paddy",52075,26156.0,17.09
Argentina,1992,591.0,"Rice, paddy",52075,26156.0,17.51
Argentina,1992,591.0,Sorghum,36217,26156.0,17.09
Argentina,1992,591.0,Sorghum,36217,26156.0,17.51
Argentina,1992,591.0,Soybeans,22915,26156.0,17.09
Argentina,1992,591.0,Soybeans,22915,26156.0,17.51
Argentina,1992,591.0,Sweet potatoes,127273,26156.0,17.09
Argentina,1992,591.0,Sweet potatoes,127273,26156.0,17.51
Argentina,1992,591.0,Wheat,21809,26156.0,17.09
Argentina,1992,591.0,Wheat,21809,26156.0,17.51
Argentina,1993,591.0,Cassava,100000,26156.0,17.32
Argentina,1993,591.0,Cassava,100000,26156.0,17.53
Argentina,1993,591.0,Maize,43552,26156.0,17.32
Argentina,1993,591.0,Maize,43552,26156.0,17.53
Argentina,1993,591.0,Potatoes,210314,26156.0,17.32
Argentina,1993,591.0,Potatoes,210314,26156.0,17.53
Argentina,1993,591.0,"Rice, paddy",43559,26156.0,17.32
Argentina,1993,591.0,"Rice, paddy",43559,26156.0,17.53
Argentina,1993,591.0,Sorghum,39529,26156.0,17.32
Argentina,1993,591.0,Sorghum,39529,26156.0,17.53
Argentina,1993,591.0,Soybeans,21589,26156.0,17.32
Argentina,1993,591.0,Soybeans,21589,26156.0,17.53
Argentina,1993,591.0,Sweet potatoes,122955,26156.0,17.32
Argentina,1993,591.0,Sweet potatoes,122955,26156.0,17.53
Argentina,1993,591.0,Wheat,23272,26156.0,17.32
Argentina,1993,591.0,Wheat,23272,26156.0,17.53
Argentina,1994,591.0,Cassava,100000,30195.0,18.17
Argentina,1994,591.0,Cassava,100000,30195.0,18.31
Argentina,1994,591.0,Maize,42371,30195.0,18.17
Argentina,1994,591.0,Maize,42371,30195.0,18.31
Argentina,1994,591.0,Potatoes,230166,30195.0,18.17
Argentina,1994,591.0,Potatoes,230166,30195.0,18.31
Argentina,1994,591.0,"Rice, paddy",42989,30195.0,18.17
Argentina,1994,591.0,"Rice, paddy",42989,30195.0,18.31
Argentina,1994,591.0,Sorghum,35065,30195.0,18.17
Argentina,1994,591.0,Sorghum,35065,30195.0,18.31
Argentina,1994,591.0,Soybeans,20386,30195.0,18.17
Argentina,1994,591.0,Soybeans,20386,30195.0,18.31
Argentina,1994,591.0,Sweet potatoes,176667,30195.0,18.17
Argentina,1994,591.0,Sweet potatoes,176667,30195.0,18.31
Argentina,1994,591.0,Wheat,20237,30195.0,18.17
Argentina,1994,591.0,Wheat,20237,30195.0,18.31
Argentina,1995,591.0,Cassava,100000,37842.0,17.74
Argentina,1995,591.0,Cassava,100000,37842.0,17.62
Argentina,1995,591.0,Maize,45223,37842.0,17.74
Argentina,1995,591.0,Maize,45223,37842.0,17.62
Argentina,1995,591.0,Potatoes,274272,37842.0,17.74
Argentina,1995,591.0,Potatoes,274272,37842.0,17.62
Argentina,1995,591.0,"Rice, paddy",50306,37842.0,17.74
Argentina,1995,591.0,"Rice, paddy",50306,37842.0,17.62
Argentina,1995,591.0,Sorghum,34588,37842.0,17.74
Argentina,1995,591.0,Sorghum,34588,37842.0,17.62
Argentina,1995,591.0,Soybeans,20446,37842.0,17.74
Argentina,1995,591.0,Soybeans,20446,37842.0,17.62
Argentina,1995,591.0,Sweet potatoes,168000,37842.0,17.74
Argentina,1995,591.0,Sweet potatoes,168000,37842.0,17.62
Argentina,1995,591.0,Wheat,21675,37842.0,17.74
